Content,PraisedNum
我不,855
你会发现这么无聊了你还学不进去,640
咳咳这就不了不了,215
还没到开学时间就这么着急?教育部不是建议在开学时间之前不要开始网络课程吗？,0
回复@知你故来风:好悲惨的事实,0
回复@猿辅导:这个必须安排起来啦,0
不了，谢谢,0
回复@知你故来风:真实，开着网课玩手机，老师说我们就得让家长去群里签到，我已经坐在电脑桌前面放着最大声错过好几次签到了,0
回复@猿辅导:弟弟就要中考了，这个必须给他安排上,0
回复@猿辅导:和孩子在家一起充电,0
人民日报客户端,0
duck不必,0
回复@猿辅导:给孩子安排,0
回复@猿辅导:好给力,0
回复@猿辅导:给我弟弟安排了 省的他老想玩,0
回复@猿辅导:真的太棒了，大家可以推荐一下,0
回复@猿辅导:这个好贴心哦  棒棒哒,0
回复@猿辅导:一起充电，真的可以,0
回复@猿辅导:真是太好了,0
回复@猿辅导:猿辅导真的很优秀,0
回复@猿辅导:真的完美的充电没错了！,0
猿辅导棒棒哒,0
回复@猿辅导:肯定好多贪玩的避之不及,0
回复@猿辅导:一起给自己充电啦,0
回复@猿辅导:对于学生来说真的是很开心呀！,0
回复@猿辅导:真的太好了，开心😁,0
回复@猿辅导:这个可以有,0
回复@猿辅导:我们一起努力啦,0
回复@猿辅导:真的太棒了,0
回复@猿辅导:让我们一起学起来停课不停学！！,0
回复@猿辅导:这个真的是太棒了   小孩子课程也不会因为疫情搁置了,0
回复@猿辅导:给我大侄子安排一波，,0
回复@猿辅导:国民福音啊,0
回复@猿辅导:必须的嘛,0
回复@猿辅导:真的太优秀了,0
回复@猿辅导:小猿太沉了，捞,0
回复@猿辅导:小猿来了，捞你,0
回复@猿辅导:你给我上去啊,0
如果是免流量学更好了,0
回复@猿辅导:小猿你太棒了,0
回复@猿辅导:那是必须的跟你一起,0
回复@猿辅导:一起充电,0
回复@猿辅导:真的太棒了，太方便了,0
回复@猿辅导:开学之前，我也要跟着去一起在线充电,0
回复@猿辅导:紧跟小猿不掉队,0
回复@猿辅导:我们一起努力加油,0
回复@猿辅导:真的太棒了，主要是很方便,0
我不闷，我一点不闷得慌,0
回复@猿辅导:真的太棒了给妹妹安排上,0
回复@猿辅导:跟着小猿一起充电,0
回复@猿辅导:顶你一把,0
学怎么做个合格的党员天天正能量吗？,0
在家闷得慌？人民日报客户端免费在线课来了,0
在家闷得慌？人民日报客户端免费在线课来了,0
我的居然无法注册，我试该哭还是该笑,0
不要上課,0
充电啦～,0
回复@璐子夕:好容易进化成人，干嘛还让猿辅导,0
等到疫情结束时，就是大家各展才艺时啦！,0
回复@笨蛋山药:隔离,0
回复@孟岐是我的:软件商店里都被我们学生党踩死了，评分只有一点几,1
睡觉不无聊😪,0
告辞,0
回复@自闭小崔爱学习:听你id 的话,0
回复@按时吃饭r:是啊天天就忙着做饭,0
加油,0
趣味数理下面就是心理健康，为什么呢？因为学完数理化，需要进行心理辅导,0
哈哈哈哈哈！转存，给家里的神兽上课了,0
无聊透了,0
客气客气,0
在家闷得慌？人民日报客户端免费在线课来了,0
@WINGYEELAMM,0
回复@Yuuqii_:我也是啊！,0
回复@卖不出衣服的小哥哥:我觉得可以。,0
赚钱吗,0
过个年玩也没玩到，吃也没吃到。然后你让老子在家上网课？,0
转发微博,0
现在最忙的就是学生了，一点都不无聊，每天都排的满满的,0
算了吧 又是猿辅导,0
这些我都不爱听啊，有别的没,0
李永乐老师🙋,0
💔,0
回复@笨蛋山药:建议隔离,1
孩子们开心哭了,0
我想学画画,0
回复@笨蛋山药:咳嗽了？马上安排隔离,2
谢谢不需要,0
下载了，不会弄,0
窝里蹲大学硕博连读,0
全民共抗新新冠，万众同心协力。假如控制和隔离之外还有拾荒者，流浪汉，乞丐他们其中有人是病毒的携带者，他们没有任何保护措施继续在外游荡。国家，政府，全民的努力都会毁于一旦，希望大家看到以后告诉身边的人，保护好自己。向全体奋战在一线的领导和医务人员，官兵警察，工作者致敬，您们辛苦了！,0
回复@按时吃饭r:哈哈哈哈我也是 每天换着花样给我妈做饭,0
回复@自闭小崔爱学习:哈哈哈哈哈哈哈哈姐妹真的好可爱！！！,0
你可能不知道智学网这个东西,0
回复@猿辅导:小猿上去,0
 人民日报客户端免费在线课来了，一起来线上“充电”！ ,0
回复@啵的腰果虾仁:可可爱爱，没有脑袋,0
评论区大家看了这个课表吗……还是挺有趣的呀其实,0
回复@小宇啊b:2月末的样子,0
回复@孟岐是我的:duck 不必,0
不要啊,2
回复@知你故来风:还真的是这样,0
回复@自闭小崔爱学习:这么可爱吗,0
回复@笨蛋山药:这条微博评论区好一致,0
饶了孩子吧,2
来了！人民日报新媒体联合猿辅导为中小学生们推出免费直播课了！开学之前，一起在线”充电“！[加油],52
回复@知你故来风:,0
     举报             赞[1]         回复             36分钟前 来自网页,1
dark不必,0
回复@三文魚三四:那学校和宿舍都有空调呢,0
     举报             赞[0]         回复             38分钟前 来自网页,0
回复@笨蛋山药:哈哈哈，再见人民日报,0
不了不了，再见,0
影视课？！你们还有影视课？！,0
回复@自闭小崔爱学习:哈哈哈哈哈哈哈，我也是,0
人民日报客户端免费在线课来了👇  ,0
哇哦,0
在家闷得慌？人民日报客户端免费在线课来了,0
我还有好多活呢。。,0
大可不必,0
我不无聊啊,0
蟹蟹您了，钉钉自己老师给上课,0
孩子们在家里宅的，好不痛快，不过也早点网上开课吧，就剩玩了,0
不不不 我继续憋着,1
你是真的狗，你去看看2月4号11∶24自己发的啥微博。不是不支持网上授课，要给我们一个轻松娱乐的假期吗？怎么现在就变卦了。快让钉钉早日下架吧啊啊啊,1
回复@自闭小崔爱学习:看着你的id再说一遍,8
忙着呢忙着呢 duck 不必,0
回复@幸福像花样abc:厉害👍,0
我不听我不听🙉,0
小猿太棒了吧！！！,0
这个可以有，我要去看啦,0
小学生：我谢谢您嘞,0
一点都不闷呀,0
很不错,0
猿辅导 牛,0
教资考试还不推迟吗,0
回复@自闭小崔爱学习:哈哈哈,0
回复@璐子夕:优秀的不行,0
人民网也成在线教育概念了,0
回复@笨蛋山药:哈哈哈,0
猿辅导太厉害了，我要和孩子在家一起充电,2
回复@知你故来风:是呀,0
不得不说猿辅导真的是太棒了，太感谢一下,0
回复@自闭小崔爱学习:学起来,0
回复@孟岐是我的:哈哈来吧,0
有没有历史课听听,0
是时候学点东西了,0
回复@按时吃饭r:哈哈哈,0
回复@朴载相:不要走,0
我真谢谢你啊,0
回复@笨蛋山药:挺好的,0
回复@知你故来风:可以试试,1
回复@清心丸lx:我也是,0
回复@十座金山霞:棒棒哒,0
回复@温柔富婆:我也是这么觉着。,0
回复@自闭小崔爱学习:为什么,0
回复@小宇啊b:太想去学校了,0
人民日报 竟然上了人民日报,0
回复@璐子夕:太优秀了,0
猿辅导也太棒了呢，一直帮助我们。,0
那个好好做饭不错,0
duck不必,0
不造小学教材是否一样，坐标山东,0
回复@知你故来风:希望疫情早点儿过去就可以出门了。,0
心情底落，我看也学不进去🤦♀️,0
加油👏👏,0
回复@知你故来风:这不就是我吗 一堆事情要做 可是就是放不下手机,1
我猿辅导那么优秀，忍不住要为你竖大拇指了,4
本来不肺炎也没到开学时候啊,0
回复@孟岐是我的:哈哈哈可以的,0
好佩服猿辅导，都上人民日报了太赞了。,1
回复@知你故来风:你说的没错啊,0
赶紧开学,0
回复@自闭小崔爱学习:哈哈哈哈,0
在哪看,0
回复@小宇啊b:啥时候开学啊,0
回复@笨蛋山药:你咳嗽了,20
回复@清心丸lx:我不行啊我想出门,0
回复@十座金山霞:太优秀了,0
回复@知你故来风:哈哈哈,0
初三党正需要,0
回复@小宇啊b:我也是哦,0
回复@小宇啊b:不想开学的我,0
回复@孟岐是我的:在家得被安排,0
回复@孟岐是我的:哈哈哈哈,0
回复@孟岐是我的:看我id哈哈哈,0
回复@花儿爱乖乖鼠:挺好用的我感觉,0
哈哈哈(ಡωಡ)hiahiahia妹砸，可以上课了,0
回复@知你故来风:机会难得哦 哈哈,0
谢了，我不无聊了,0
回复@笨蛋山药:算了算了,0
回复@知你故来风:哈哈是啊,0
哈哈哈不必了谢谢,0
啊啊啊啊猿辅导上人民日报了[加油],0
害，明天要上班了,0
猿辅导厉害👍 ，竟然上了人民日报,0
回复@自闭小崔爱学习:你看着的id再说一次,6
猿辅导被人民日报翻牌啦！真是太赞了！,0
哈哈，这个真的很是不错的啊，人民日报都翻牌了啊,0
回复@LLLXgd:真的厉害了！！,0
挺暖心的,0
啊小猿被人民日报翻牌子了,1
感觉很不错呢,0
回复@知你故来风:啊，瞎说什么大实话。,0
我的天哪，猿辅导居然上了人民日报,2
回复@小宇啊b:想去学校a,0
我看到了啥  猿辅导竟然上人民日报了  我三年的回忆啊,1
回复@十座金山霞:真是优秀了呀,0
太感谢猿辅导了，还担心孩子在家不上学成绩会退步,0
猿辅导真的是超级优秀！,0
我老老实实待在家里不给国家添乱，你们就是这么回报我的？,0
对于初三党来说真的是福利,0
哇塞猿辅导被人民日报提名了。,0
猿题库这个举措真的很奈斯,0
回复@boin心动的感觉:看着就暖,0
小猿被人名日报翻牌子了呀！,1
猿辅导上了人民日报，真的可以,3
duck不必,0
老师帅么,0
充电,0
回复@知你故来风:哈哈哈,0
看一下,0
看一下,0
感谢猿辅导！！太温暖了 ,1
算了我还是打王者去吧 输就输,0
解闷要符合大众口味,0
我不要,0
上海延迟复工啊！！！多数人都不会自觉主动隔离14天 都是回来上班的！,0
中小学生：我谢谢您嘞,2
看了下，很多课还是不错的，不过我忙着学书法没空了,2
安逸,0
我就是想去上班赚钱,0
不必了不必了 哈哈哈哈,0
我不会闷得，谢谢关心,0
谢谢，我不闷,0
看看艺术公众号MFmore壹添艺术，带大家去看全世界的艺术与生活的内容,0
请保护好其他七位吹哨人！,2
喝就喝双黄连口服液,0
@祖国明天一定会更好,0
额，这个个嘛，躺在床上挺好的,0
我好想开学啊想看真实的老师了不想看镜头下的老师了太难了,0
其实可以搞点健身操，瑜伽，舞蹈的培训教材。运动增强免疫力,0
我无聊吗？我一点都不无聊啊,0
恭喜袁辅导。,0
转发,0
回形针！,0
我这么无聊还学不进去 是真的不想学,0
对手机我是认真的,0
干得漂亮,0
duck 不必,0
回复@96年出生的小酱油:一直都是1.5倍速或者两倍速看剧,0
我不。,0
害到也不必,0
开心，赶紧去下载❤,0
现在看到app就烦，就这几天孩子班主任发了5个app让安装了  可tm没一个用的到,0
二流报纸？,0
可以但没必要,0
回复@BJ未沫:真相，我追美剧都开始快进追,0
回复@BJ未沫:真相，我追美剧都开始快进追,0
不用我们有钉钉，告退,0
举报蚌埠市禹会区行政执法管理局让下属每天上班，截止现在就发过2个口罩，期有听说某支大队里有一人疑似。只想说每天上班没有工资，还没有防护措施，太危险了，那会更加扩散疫情的,0
打扰了打扰了。,0
有钉钉就够了，不用了-_-||,0
回复@96年出生的小酱油:电影都不能专心看，看一会就得看看微信群刷刷微博,0
     举报             赞[0]         回复             今天 13:01 来自网页,0
就是村里信号不太好,0
